Project Name,PXID,submittter,#PSM,Species,Superkingdom,#MS Runs,Instrument,Fragment method,Enzyme,#Download ,relsease date,MS2
The reanalysis results of PXD009348 Homo sapiens Trypsin,PXD009348,π-MSNet,386933,Homo sapiens,Eukaryote,163,Q Exactive HF,HCD@27.00,Trypsin,0,,3846437
The reanalysis results of PXD009449 Homo sapiens Trypsin,PXD009449,π-MSNet,201402,Homo sapiens,Eukaryote,26,Orbitrap Fusion Lumos,CID@35.00,Trypsin,0,,
The reanalysis results of PXD009449 Homo sapiens Trypsin,PXD009449,π-MSNet,697583,Homo sapiens,Eukaryote,39,Orbitrap Fusion Lumos,HCD@28.00,Trypsin,0,,
The reanalysis results of PXD009737 Homo sapiens Gluc,PXD009737,π-MSNet,349187,Homo sapiens,Eukaryote,36,Q Exactive HF-X,HCD@27.00,Gluc,0,,1922589
The reanalysis results of PXD009737 Homo sapiens Lys-C,PXD009737,π-MSNet,430334,Homo sapiens,Eukaryote,36,Q Exactive HF-X,HCD@27.00,Lys-C,0,,1731863
The reanalysis results of PXD009737 Homo sapiens Trypsin,PXD009737,π-MSNet,573528,Homo sapiens,Eukaryote,36,Q Exactive HF-X,HCD@27.00,Trypsin,0,,2112393
The reanalysis results of PXD010154 Homo sapiens Trypsin,PXD010154,π-MSNet,16819411,Homo sapiens,Eukaryote,1364,Q Exactive Plus,HCD@25.00,Trypsin,0,,52147960+11295103
The reanalysis results of PXD010595 Homo sapiens Trypsin,PXD010595,π-MSNet,8840962,Homo sapiens,Eukaryote,384,Orbitrap Fusion Lumos,HCD@20.00,Trypsin,0,,22481075
The reanalysis results of PXD010899 Homo sapiens Trypsin,PXD010899,π-MSNet,1570723,Homo sapiens,Eukaryote,1803,Q Exactive,HCD@30.00,Trypsin,0,,19798881
The reanalysis results of PXD010957 Mus musculus Trypsin,PXD010957,π-MSNet,22686367,Mus musculus,Eukaryote,1437,Q Exactive,HCD@25.00,Trypsin,0,,77129343
The reanalysis results of PXD012131 Homo sapiens Trypsin,PXD012131,π-MSNet,4563808,Homo sapiens,Eukaryote,311,Orbitrap Fusion Lumos,HCD@30.00,Trypsin,0,,3407423
The reanalysis results of PXD012174 Homo sapiens Trypsin,PXD012174,π-MSNet,15621996,Homo sapiens,Eukaryote,1194,LTQ Orbitrap Velos,CID@35.00,Trypsin,0,,30594625
The reanalysis results of PXD012636 Danio rerio Trypsin,PXD012636,π-MSNet,98759,Danio rerio,Eukaryote,58,Q Exactive HF,HCD@28.00,Trypsin,0,,
The reanalysis results of PXD012636 Equus caballus Trypsin,PXD012636,π-MSNet,134634,Equus caballus,Eukaryote,124,Q Exactive HF,HCD@28.00,Trypsin,0,,
The reanalysis results of PXD012636 Mus musculus Trypsin,PXD012636,π-MSNet,1568361,Mus musculus,Eukaryote,120,Q Exactive HF,HCD@28.00,Trypsin,0,,
The reanalysis results of PXD012636 Sus scrofa domesticus Trypsin,PXD012636,π-MSNet,417991,Sus scrofa domesticus,Eukaryote,120,Q Exactive HF,HCD@28.00,Trypsin,0,,
The reanalysis results of PXD012636 Rattus norvegicus Trypsin,PXD012636,π-MSNet,937801,Rattus norvegicus,Eukaryote,120,Q Exactive HF,HCD@28.00,Trypsin,0,,
The reanalysis results of PXD012636 Homo sapiens Trypsin,PXD012636,π-MSNet,1132652,Homo sapiens,Eukaryote,89,Q Exactive HF,HCD@28.00,Trypsin,0,,17654060
The reanalysis results of PXD013231 Homo sapiens Trypsin,PXD013231,π-MSNet,468370,Homo sapiens,Eukaryote,105,Orbitrap Fusion Lumos,HCD@27.00,Trypsin,0,,2319882
The reanalysis results of PXD013868 Arabidopsis Trypsin,PXD013868,π-MSNet,17606574,Arabidopsis,Eukaryote,1435,Q Exactive HF,HCD@25.00,Trypsin,0,,55523870
The reanalysis results of PXD014877 Bacteroides Fragilis Trypsin,PXD014877,π-MSNet,51628,Bacteroides Fragilis,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,185036
The reanalysis results of PXD014877 Bacteroides Uniformis Trypsin,PXD014877,π-MSNet,54455,Bacteroides Uniformis,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,184715
The reanalysis results of PXD014877 Bifidobacterium Longum Subsp Longum Trypsin,PXD014877,π-MSNet,21831,Bifidobacterium Longum Subsp Longum,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Chromera velia Trypsin,PXD014877,π-MSNet,68644,Chromera velia,Eukaryote,5,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Clostridium Bolteae Trypsin,PXD014877,π-MSNet,30124,Clostridium Bolteae,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,181046
The reanalysis results of PXD014877 Clostridium saccharolyticum Trypsin,PXD014877,π-MSNet,32736,Clostridium saccharolyticum,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,182258
The reanalysis results of PXD014877 Collinsella Aerofaciens Trypsin,PXD014877,π-MSNet,28061,Collinsella Aerofaciens,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,181009
The reanalysis results of PXD014877 Danio rerio Trypsin,PXD014877,π-MSNet,340169,Danio rerio,Eukaryote,7,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1245886
The reanalysis results of PXD014877 Eggerthella Lenta Trypsin,PXD014877,π-MSNet,11032,Eggerthella Lenta,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,181801
The reanalysis results of PXD014877 Fusarium oxysporum Trypsin,PXD014877,π-MSNet,185361,Fusarium oxysporum,Eukaryote,11,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1727734
The reanalysis results of PXD014877 Fusobacterium Nucleatum Subsp Nucleatum Trypsin,PXD014877,π-MSNet,26424,Fusobacterium Nucleatum Subsp Nucleatum,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,181542
The reanalysis results of PXD014877 Gallus Gallus Trypsin,PXD014877,π-MSNet,294035,Gallus Gallus,Eukaryote,8,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1449769
The reanalysis results of PXD014877 Gossypium hirsutum Trypsin,PXD014877,π-MSNet,248653,Gossypium hirsutum,Eukaryote,8,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1409528
The reanalysis results of PXD014877 Halobacterium sp Trypsin,PXD014877,π-MSNet,31395,Halobacterium sp,Archea,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,176175
The reanalysis results of PXD014877 Lactobacillus Paracasei Trypsin,PXD014877,π-MSNet,340169,Lactobacillus Paracasei,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Mus musculus Trypsin,PXD014877,π-MSNet,267991,Mus musculus,Eukaryote,7,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Mycoplasmen Trypsin,PXD014877,π-MSNet,3608,Mycoplasmen,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,170650
The reanalysis results of PXD014877 Neurospora Crassa Trypsin,PXD014877,π-MSNet,78622,Neurospora Crassa,Eukaryote,7,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1222728
The reanalysis results of PXD014877 Odoribacter splanchnicus Trypsin,PXD014877,π-MSNet,40367,Odoribacter splanchnicus,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,182127
The reanalysis results of PXD014877 Parabacteroides Distasonis Trypsin,PXD014877,π-MSNet,34529,Parabacteroides Distasonis,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,184336
The reanalysis results of PXD014877 Parabacteroides Merdae Trypsin,PXD014877,π-MSNet,39236,Parabacteroides Merdae,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,182572
The reanalysis results of PXD014877 Phaeodactylum tricornutum  Trypsin,PXD014877,π-MSNet,126526,Phaeodactylum tricornutum ,Eukaryote,7,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1163328
The reanalysis results of PXD014877 Prevotella Copri Trypsin,PXD014877,π-MSNet,31720,Prevotella Copri,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,180772
The reanalysis results of PXD014877 Roseburia Intestinalis Trypsin,PXD014877,π-MSNet,17139,Roseburia Intestinalis,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Ruminococcus Bromii Trypsin,PXD014877,π-MSNet,20232,Ruminococcus Bromii,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,180526
The reanalysis results of PXD014877 Ruminococcus Gnavus Trypsin,PXD014877,π-MSNet,27689,Ruminococcus Gnavus,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Streptococcus Parasanguinis Trypsin,PXD014877,π-MSNet,26601,Streptococcus Parasanguinis,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,182045
The reanalysis results of PXD014877 Sulfolobus solfataricus Trypsin,PXD014877,π-MSNet,1926,Sulfolobus solfataricus,Archea,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,
The reanalysis results of PXD014877 Symbiodinium microadriaticum Trypsin,PXD014877,π-MSNet,4310,Symbiodinium microadriaticum,Eukaryote,5,Q Exactive HF-X,HCD@27.00,Trypsin,0,,751979
The reanalysis results of PXD014877 Triticum aestivum Trypsin,PXD014877,π-MSNet,265766,Triticum aestivum,Eukaryote,7,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1219105
The reanalysis results of PXD014877 Veillonella parvula Trypsin,PXD014877,π-MSNet,30734,Veillonella parvula,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,181728
The reanalysis results of PXD014877 Vitris vinifera Trypsin,PXD014877,π-MSNet,203696,Vitris vinifera,Eukaryote,7,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1158652
The reanalysis results of PXD014877 Akkermansia muciniphilia Trypsin,PXD014877,π-MSNet,22013,Akkermansia muciniphilia,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,180604
The reanalysis results of PXD014877 Bacteroides Thetaiotaomicron Trypsin,PXD014877,π-MSNet,50460,Bacteroides Thetaiotaomicron,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,183488
The reanalysis results of PXD014877 Drosophila Trypsin,PXD014877,π-MSNet,217125,Drosophila,Eukaryote,8,Q Exactive HF-X,HCD@27.00,Trypsin,0,,1425314
The reanalysis results of PXD014877 Ruminococcus Torques Trypsin,PXD014877,π-MSNet,20811,Ruminococcus Torques,Prokaryote,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,181962
The reanalysis results of PXD016986 Riftia pachyptila Trypsin,PXD016986,π-MSNet,1973461,Riftia pachyptila,Prokaryote,349,LTQ Orbitrap Velos,CID@35.00,Trypsin,0,,6774120
The reanalysis results of PXD018830 Homo sapiens Trypsin,PXD018830,π-MSNet,2527193,Homo sapiens,Eukaryote,276,Q Exactive Plus,HCD@30.00,Trypsin,0,,11974408
The reanalysis results of PXD019483 hCOV Trypsin,PXD019483,π-MSNet,151,hCOV,Virus,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,159534
The reanalysis results of PXD019483 HSV Trypsin,PXD019483,π-MSNet,3288,HSV,Virus,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,167985
The reanalysis results of PXD019483 LACV Trypsin,PXD019483,π-MSNet,2339,LACV,Virus,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,173858
The reanalysis results of PXD019483 RVFV Trypsin,PXD019483,π-MSNet,1429,RVFV,Virus,2,Q Exactive HF-X,HCD@27.00,Trypsin,0,,341898
The reanalysis results of PXD019483 VSV Trypsin,PXD019483,π-MSNet,819,VSV,Virus,1,Q Exactive HF-X,HCD@27.00,Trypsin,0,,171100
The reanalysis results of PXD019483 ZIKV Trypsin,PXD019483,π-MSNet,835,ZIKV,Virus,2,Q Exactive HF-X,HCD@27.00,Trypsin,0,,323783
The reanalysis results of PXD019483 Homo sapiens HLA,PXD019483,π-MSNet,4001686,Homo sapiens,Eukaryote,111,Q Exactive HF-X,HCD@27.00,Trypsin,0,,19997395
The reanalysis results of PXD019643 Homo sapiens Trypsin,PXD019643,π-MSNet,4290071,Homo sapiens,Eukaryote,719,Orbitrap Fusion Lumos,HCD@30.00,unspecific cleavage,0,,14874740
The reanalysis results of PXD020192 Homo sapiens Trypsin,PXD020192,π-MSNet,7649835,Homo sapiens,Eukaryote,91,Q Exactive HF-X,HCD@27.00,Trypsin,0,,13092825
The reanalysis results of PXD021013 Homo sapiens HLA,PXD021013,π-MSNet,16314438,Homo sapiens,Eukaryote,996,Orbitrap Fusion Lumos,HCD@23.00,unspecific cleavage,0,,68976454
The reanalysis results of PXD022469 Homo sapiens Trypsin,PXD022469,π-MSNet,696434,Homo sapiens,Eukaryote,383,Q Exactive Plus,HCD@27.50,Trypsin,0,,3141219
The reanalysis results of PXD024364 Homo sapiens Lys-C,PXD024364,π-MSNet,509465,Homo sapiens,Eukaryote,30,Orbitrap Fusion,HCD@30.00,Lys-C,0,,2564640
The reanalysis results of PXD024364 Homo sapiens Trypsin,PXD024364,π-MSNet,7120784,Homo sapiens,Eukaryote,281,Orbitrap Fusion,HCD@30.00,Trypsin,0,,24163850
The reanalysis results of PXD028735 Escherichia coli Trypsin,PXD028735,π-MSNet,99467,Escherichia coli,Prokaryote,39,Q Exactive HF-X,HCD@27.00,Trypsin,0,,4339253
The reanalysis results of PXD028735 Homo sapiens Trypsin,PXD028735,π-MSNet,1511325,Homo sapiens,Eukaryote,45,Q Exactive HF-X,HCD@27.00,Trypsin,0,,12588817
The reanalysis results of PXD030348 Mus musculus Trypsin,PXD030348,π-MSNet,6483317,Mus musculus,Eukaryote,284,Orbitrap Fusion,HCD@30.00,Trypsin,0,,44008185
The reanalysis results of PXD030983 Mus musculus Trypsin,PXD030983,π-MSNet,30714490,Mus musculus,Eukaryote,2137,Q Exactive HF,HCD@25.00,Trypsin,0,,104523798
The reanalysis results of PXD040266 Mus musculus Trypsin,PXD040266,π-MSNet,896379,Mus musculus,Eukaryote,48,timsTOF,CID@43,Trypsin,0,,
The reanalysis results of PXD010429 Homo sapiens Trypsin,PXD010429,π-MSNet,2578074,Homo sapiens,Eukaryote,696,Q Exactive Plus,HCD@30.00,Trypsin,0,,22762945
The reanalysis results of PXD005478 Mycobacterium tuberculosis Trypsin,PXD005478,π-MSNet,2013520,Mycobacterium tuberculosis,Prokaryote,582,Q Exactive HF,HCD@38,Trypsin,0,,
The reanalysis results of PXD002899 Xenopus laevis Trypsin,PXD002899,π-MSNet,3498190,Xenopus laevis,Eukaryote,357,Q Exactive HF,HCD@27.00,Trypsin,0,,15524424
The reanalysis results of PXD004352 Homo sapiens Trypsin,PXD004352,π-MSNet,1208405,Homo sapiens,Eukaryote,455,Q Exactive Plus,HCD@26,Trypsin,0,,
The reanalysis results of PXD025555 Homo sapiens Trypsin,PXD025555,π-MSNet,9620961,Homo sapiens,Eukaryote,797,Orbitrap Fusion Lumos,HCD@30.00,Trypsin,0,,11135619
The reanalysis results of PXD005526 Mus musculus Trypsin,PXD005526,π-MSNet,13527205,Mus musculus,Eukaryote,395,Q Exactive,HCD@25.00,Trypsin,0,,64151449
The reanalysis results of PXD021398 Homo sapiens HLA peptides,PXD021398,π-MSNet,4305190,Homo sapiens,Eukaryote,566,Q Exactive,HCD@25.00,unspecific cleavage,0,,
The reanalysis results of PXD034656 Saccharomyces cerevisia Trypsin,PXD034656,π-MSNet,3264025,Saccharomyces cerevisia,Eukaryote,639,Q Exactive HF,HCD@30.00,Trypsin,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,PXD041268,,,,,,,,,,11322589,
